method,seconds_mean,seconds_std,seconds_min,repeats,device
attention_rollout,0.0072586763417348266,5.742606376365907e-05,0.007206597016192973,3,cuda
gradcam,0.014440743369050324,3.0229868032123913e-05,0.014416925958357751,3,cuda
grad_rollout,0.020066212319458526,8.135570579333313e-05,0.019978938973508775,3,cuda
integrated_gradients,2.2161101745829606,0.0001974481903590565,2.2158333238912746,3,cuda
gradient_shap,2.602467840343403,0.0005418140505512304,2.601934295031242,3,cuda
